,EVENT CATEGORY,EVENT GROUP,EVENT SUBGROUP,EVENT TYPE,PLACE,Province/Territory,EVENT START DATE,FATALITIES,INJURED/INFECTED,EVACUATED,ESTIMATED TOTAL COST,NORMALIZED TOTAL COST,EVENT END DATE,FEDERAL DFAA PAYMENTS,PROVINCIAL DFAA PAYMENTS,PROVINCIAL DEPARTMENT PAYMENTS,MUNICIPAL COSTS,OGD COSTS,INSURANCE PAYMENTS,NGO PAYMENTS,UTILITY/PEOPLE AFFECTED,MAGNITUDE,start_date,end_date,Difference,Region,Province_Name
262,Disaster,Natural,Meteorological - Hydrological,Wildfire,"Cross Lake, Seymourville MB",MB,1999-04-29 00:00:00,0.0,0.0,1050.0,,,1999-05-12 00:00:00,,0.0,0.0,,,,,0.0,0.0,1999-04-29,1999-05-12,13,Western Canada,Manitoba
263,Disaster,Natural,Meteorological - Hydrological,Flood,Melita MB,MB,1999-04-01 00:00:00,0.0,0.0,0.0,109195449.0,112254804.3,1999-04-01 00:00:00,7292493.0,3327956.0,97575000.0,1000000.0,,,,0.0,0.0,1999-04-01,1999-04-01,0,Western Canada,Manitoba
264,Disaster,Natural,Meteorological - Hydrological,Flood,Southeastern Saskatchewan,SK,1999-04-01 00:00:00,0.0,0.0,0.0,1717172.0,1765282.4,1999-06-30 00:00:00,345839.0,1371333.0,,,,,,0.0,0.0,1999-04-01,1999-06-30,90,Western Canada,Saskatchewan
265,Disaster,Natural,Meteorological - Hydrological,Wildfire,La Ronge SK,SK,1999-04-01 00:00:00,0.0,0.0,40.0,,,1999-05-31 00:00:00,0.0,0.0,,,,,,0.0,0.0,1999-04-01,1999-05-31,60,Western Canada,Saskatchewan
266,Disaster,Natural,Meteorological - Hydrological,Wildfire,East of Lake Winnipeg MB,MB,1999-03-05 00:00:00,0.0,0.0,1107.0,,,1999-03-05 00:00:00,,,,,,,,0.0,0.0,1999-03-05,1999-03-05,0,Western Canada,Manitoba
267,Disaster,Natural,Meteorological - Hydrological,Flood,British Columbia,BC,1999-03-01 00:00:00,0.0,0.0,0.0,22426695.0,23055029.1,1999-07-30 00:00:00,12206998.0,10219697.0,,,,,,0.0,0.0,1999-03-01,1999-07-30,151,Western Canada,British Columbia
268,Disaster,Natural,Meteorological - Hydrological,Storm - Unspecified / Other,Southern BC,BC,1999-02-21 00:00:00,3.0,0.0,0.0,,,1999-02-21 00:00:00,,,,,,,,0.0,0.0,1999-02-21,1999-02-21,0,Western Canada,British Columbia
269,Disaster,Natural,Meteorological - Hydrological,Winter Storm,Barrie ON,ON,1999-02-13 00:00:00,0.0,30.0,0.0,,,1999-02-13 00:00:00,0.0,0.0,,,,,,0.0,0.0,1999-02-13,1999-02-13,0,Eastern Canada,Ontario
270,Disaster,Natural,Meteorological - Hydrological,Winter Storm,Terrace BC,BC,1999-02-11 00:00:00,0.0,0.0,0.0,,,1999-02-11 00:00:00,0.0,0.0,,,,,,0.0,0.0,1999-02-11,1999-02-11,0,Western Canada,British Columbia
271,Disaster,Natural,Meteorological - Hydrological,Storm - Unspecified / Other,Southern British Columbia,BC,1999-01-29 00:00:00,0.0,1.0,0.0,,,1999-01-29 00:00:00,,,,,,,,0.0,0.0,1999-01-29,1999-01-29,0,Western Canada,British Columbia
272,Disaster,Natural,Meteorological - Hydrological,Winter Storm,Toronto ON,ON,1999-01-13 00:00:00,2.0,0.0,0.0,122000000.0,125418103.4,1999-01-15 00:00:00,,,,72000000.0,,50000000.0,,0.0,0.0,1999-01-13,1999-01-15,2,Eastern Canada,Ontario
273,Disaster,Natural,Meteorological - Hydrological,Winter Storm,Southern Ontario,ON,1999-01-03 00:00:00,11.0,7.0,0.0,,,1999-01-03 00:00:00,0.0,0.0,,,,,,0.0,0.0,1999-01-03,1999-01-03,0,Eastern Canada,Ontario
274,Disaster,Natural,Meteorological - Hydrological,Avalanche,Kangiqsualujjuaq QC,QC,1999-01-01 00:00:00,9.0,25.0,0.0,6400400.0,6579721.6,1999-01-01 00:00:00,6400000.0,,,,,,400.0,0.0,0.0,1999-01-01,1999-01-01,0,Eastern Canada,Quebec
275,Disaster,Natural,Meteorological - Hydrological,Winter Storm,"Greater Vancouver Area, Southern BC",BC,1998-12-24 00:00:00,2.0,2.0,10.0,,,1998-12-29 00:00:00,0.0,0.0,,,,,,0.0,0.0,1998-12-24,1998-12-29,5,Western Canada,British Columbia
276,Disaster,Natural,Meteorological - Hydrological,Storm - Unspecified / Other,"Greater Vancouver Area, Southern BC",BC,1998-11-23 00:00:00,0.0,0.0,0.0,14025688.0,14655538.2,1998-11-25 00:00:00,,,,,,14025688.0,,0.0,0.0,1998-11-23,1998-11-25,2,Western Canada,British Columbia
277,Disaster,Natural,Meteorological - Hydrological,Wildfire,Salmon Arm BC,BC,1998-08-10 00:00:00,0.0,0.0,7000.0,3036145.0,3172488.9,1998-08-17 00:00:00,,,,3036145.0,,,,0.0,0.0,1998-08-10,1998-08-17,7,Western Canada,British Columbia
278,Disaster,Natural,Meteorological - Hydrological,Wildfire,British Columbia,BC,1998-08-01 00:00:00,0.0,0.0,10600.0,2795.0,2920.5,1998-08-01 00:00:00,,,,,,,2795.0,0.0,0.0,1998-08-01,1998-08-01,0,Western Canada,British Columbia
279,Disaster,Natural,Meteorological - Hydrological,Wildfire,Tibbet Lake NT,NT,1998-07-22 00:00:00,0.0,0.0,5.0,12044118.0,12584982.0,1998-07-31 00:00:00,,,12044118.0,,,,,0.0,0.0,1998-07-22,1998-07-31,9,Northern Canada,Northwest Territories
280,Disaster,Natural,Meteorological - Hydrological,Wildfire,Northern Ontario,ON,1998-07-04 00:00:00,0.0,0.0,1865.0,,,1998-07-31 00:00:00,0.0,0.0,,,,,,0.0,0.0,1998-07-04,1998-07-31,27,Eastern Canada,Ontario
281,Disaster,Natural,Meteorological - Hydrological,Storms and Severe Thunderstorms,Calgary AB,AB,1998-07-04 00:00:00,0.0,0.0,0.0,65258000.0,68188534.5,1998-07-05 00:00:00,,,,,,65258000.0,,0.0,0.0,1998-07-04,1998-07-05,1,Western Canada,Alberta
282,Disaster,Natural,Meteorological - Hydrological,Wildfire,Swan Hills AB,AB,1998-05-05 00:00:00,0.0,0.0,2030.0,,,1998-05-21 00:00:00,,,,,,,,0.0,0.0,1998-05-05,1998-05-21,16,Western Canada,Alberta
283,Disaster,Natural,Meteorological - Hydrological,Flood,Eastern Ontario and Quebec,Multiple Provinces,1998-03-28 00:00:00,0.0,0.0,3757.0,27741685.0,28987478.1,1998-04-15 00:00:00,7246824.0,14570459.0,5924402.0,,,,,0.0,0.0,1998-03-28,1998-04-15,18,Eastern Canada,Multiple Provinces
284,Disaster,Natural,Meteorological - Hydrological,Flood,Saint John River NB,NB,1998-03-09 00:00:00,0.0,0.0,0.0,5636784.0,5889914.5,1998-03-10 00:00:00,3550846.0,2085938.0,,,,,,0.0,0.0,1998-03-09,1998-03-10,1,Eastern Canada,New Brunswick
285,Disaster,Natural,Meteorological - Hydrological,Storms and Severe Thunderstorms,45 miles southwest of the islands of Saint-Pierre-et-Miquelon,NL,1998-01-16 00:00:00,21.0,0.0,0.0,5109358.0,5338803.4,1998-01-16 00:00:00,0.0,0.0,5109358.0,,,,,0.0,0.0,1998-01-16,1998-01-16,0,Eastern Canada,Newfoundland and Labrador
286,Disaster,Natural,Meteorological - Hydrological,Winter Storm,Ontario to New Brunswick,Multiple Provinces,1998-01-06 00:00:00,28.0,945.0,17800.0,4635720433.0,4843896268.0,1998-01-10 00:00:00,665387416.0,42560837.0,17661738.0,2018484288.0,166306876.0,1712248000.0,13071278.0,4828750.0,0.0,1998-01-06,1998-01-10,4,Eastern Canada,Multiple Provinces
287,Disaster,Natural,Biological,Epidemic,Wood Buffalo National Park AB,AB,1998-01-01 00:00:00,0.0,0.0,0.0,974055.0,1017796.8,1998-01-01 00:00:00,,,974055.0,,,,,0.0,0.0,1998-01-01,1998-01-01,0,Western Canada,Alberta
288,Disaster,Natural,Geological,Landslide,Hummingbird Creek BC,BC,1997-07-11 00:00:00,0.0,0.0,0.0,,,1997-07-11 00:00:00,,,,,,,,0.0,0.0,1997-07-11,1997-07-11,0,Western Canada,British Columbia
289,Disaster,Natural,Meteorological - Hydrological,Flood,Lesser Slave Lake area AB,AB,1997-06-17 00:00:00,0.0,0.0,0.0,664352.0,701097.1,1997-06-20 00:00:00,,,664352.0,,,,,0.0,0.0,1997-06-17,1997-06-20,3,Western Canada,Alberta
290,Disaster,Natural,Meteorological - Hydrological,Wildfire,"Iroquois Falls, Kirkland Lake, Timmins areas ON",ON,1997-06-12 00:00:00,0.0,0.0,823.0,,,1997-06-12 00:00:00,0.0,0.0,,,,,,0.0,0.0,1997-06-12,1997-06-12,0,Eastern Canada,Ontario
291,Disaster,Natural,Meteorological - Hydrological,Wildfire,Northwest of Matagami QC,QC,1997-06-10 00:00:00,0.0,0.0,1100.0,,,1997-06-12 00:00:00,0.0,0.0,,,,,,0.0,0.0,1997-06-10,1997-06-12,2,Eastern Canada,Quebec
292,Disaster,Natural,Meteorological - Hydrological,Wildfire,Timmins ON,ON,1997-05-29 00:00:00,0.0,0.0,400.0,,,1997-05-29 00:00:00,0.0,0.0,,,,,,0.0,0.0,1997-05-29,1997-05-29,0,Eastern Canada,Ontario
293,Disaster,Natural,Meteorological - Hydrological,Flood,Southern British Columbia,BC,1997-05-01 00:00:00,0.0,0.0,0.0,40114688.0,42333420.7,1997-05-01 00:00:00,15472238.0,10407813.0,,14234637.0,,,,0.0,0.0,1997-05-01,1997-05-01,0,Western Canada,British Columbia
294,Disaster,Natural,Meteorological - Hydrological,Flood,"Assiniboine, Red and Winnipeg Rivers MB",MB,1997-04-22 00:00:00,0.0,0.0,25447.0,498513577.0,526086230.6,1997-05-14 00:00:00,193808836.0,23624696.0,,48480045.0,,232600000.0,,0.0,0.0,1997-04-22,1997-05-14,22,Western Canada,Manitoba
295,Disaster,Natural,Meteorological - Hydrological,Flood,Peace River AB,AB,1997-04-19 00:00:00,0.0,0.0,4000.0,47368494.0,49988432.8,1997-04-23 00:00:00,18664180.0,8343702.0,20360612.0,,,,,0.0,0.0,1997-04-19,1997-04-23,4,Western Canada,Alberta
296,Disaster,Natural,Meteorological - Hydrological,Flood,South-Central Saskatchewan,SK,1997-03-30 00:00:00,0.0,0.0,516.0,1319475.0,1392454.8,1997-04-03 00:00:00,,,1319475.0,,,,,0.0,0.0,1997-03-30,1997-04-03,4,Western Canada,Saskatchewan
297,Disaster,Natural,Meteorological - Hydrological,Storms and Severe Thunderstorms,Southern British Columbia,BC,1997-03-18 00:00:00,0.0,0.0,0.0,4585262.0,4838871.6,1997-03-24 00:00:00,653232.0,3932030.0,,,,,,0.0,0.0,1997-03-18,1997-03-24,6,Western Canada,British Columbia
